"001","use the","dispensed cup"
"002","Place your cup","within §1 sec.","parametro 1: 2 caratteri"
"003","Deter./tank cup","station 10=ok"
"004","put syrup tube","bottl>tank 10=ok"
"005","§1/§2 H2O fill.","in tank with det","parametro 1: 2 caratteri; parametro 2: 2 caratteri"
"006","Clean Tank under","cup stat.  10=ok"
"007","§1/§2 SYRUP","Cleaning End","parametro 1: 2 caratteri; parametro 2: 2 caratteri"
"008","Hot H2O filling ","in clean tank"
"009","Clean. Solution ","through syr.tube"
"010","Inst module","version §1.§2.§3","parametro 1: 2 caratteri; parametro 2: 2 caratteri; parametro 3: 2 caratteri"
"011","Syrup module","version §1.§2.§3","parametro 1: 2 caratteri; parametro 2: 2 caratteri; parametro 3: 2 caratteri"
"012","§1 EXT Mix §2","rinsing","parametro 1: 5 caratteri; parametro 2: 1 caratteri"
